title,year,type,root_key,all_ids,sources,draft,jellyplex,drive,draft_mtime,nas_mtime,drive_mtime,episodes,thuyet_minh_vn,sub_langs,folder_local,folder_jellyfin,folder_plex,folder_gdrive
Furuhata Ninzaburo,,,tmdb-9573,tmdb-9573 tvdb-256320,gdrive,0,0,1,,,,,0,,,,,Furuhata Ninzaburo (1994) {tvdb-256320}
g@me.,,,tvdb-46304,imdb-tt0431077 tmdb-61492 tvdb-46304,plex,0,1,0,,,,,0,,,,Game,
Gintama,2006,,tvdb-79895,imdb-tt0988818 tmdb-57041 tvdb-79895,jellyfin+plex,0,1,0,,2026-05-19,,418,0,,,Gintama,Gintama,
Gintama: The Final Chapter - Be Forever Yorozuya,2013,,tvdb-13623,imdb-tt2374144 tmdb-245917 tvdb-13623,jellyfin+plex,0,1,0,,2025-06-22,,,0,,,Gintama: The Movie 2 - The Final Chapter - Be Forever Yorozuya (2013).mkv,Gintama Linh Hồn Bạc: Mãi Mãi Là Tiệm Vạn Năng,
Gintama: The Movie,2010,,tmdb-71172,imdb-tt1636780 tmdb-71172,jellyfin,0,1,0,,2025-06-22,,,0,,,Gintama: The Movie 1 - Shinyaku Benizakura Hen (2010).mkv,,
Gintama: The Semi-Final,2021,,tvdb-395525,imdb-tt13610306 tmdb-114211 tvdb-395525,jellyfin,0,1,0,,2026-05-12,,2,0,,,Gintama: The Semi-Final,,
Gintama: The Very Final,2021,,tvdb-143303,imdb-tt10766468 tmdb-732203 tvdb-143303,jellyfin+plex,0,1,0,,2025-06-22,,,0,,,Gintama: The Very Final.mp4,Gintama: Hồi Kết,
Girls in Trouble: Space Squad Episode Zero,2017,,tvdb-62129,imdb-tt6195602 tmdb-434027 tvdb-62129,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Girls in Trouble: Space Squad Episode Zero.mkv,Girls in Trouble: Space Squad Episode Zero,
GOAT,2026,,tvdb-357168,imdb-tt27613895 tmdb-1297842 tvdb-357168,jellyfin+plex,0,1,0,,2026-05-21,,,0,,,GOAT (2026).strm,"Tuyển Thủ Dê: ""Mùi"" Vị Chiến Thắng",
GoGo Sentai Boukenger The Movie: The Greatest Precious,2006,,tvdb-98700,imdb-tt0824339 tmdb-200431 tvdb-98700,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,GoGo Sentai Boukenger The Movie: The Greatest Precious.mkv,Chiến Đội Phiêu Lưu Boukenger: Báu Vật Tối Thượng,
GoGo Sentai Boukenger vs. Super Sentai,2007,,tvdb-53378,imdb-tt1038025 tmdb-188226 tvdb-53378,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,GoGo Sentai Boukenger vs Super Sentai.mkv,GoGo Sentai Boukenger vs. Super Sentai,
Gokaiger Goseiger Super Sentai 199 Hero Great Battle,2011,,tvdb-14120,imdb-tt1869453 tmdb-160939 tvdb-14120,jellyfin+plex,0,1,0,,2023-07-23,,,0,,,Gokaiger Goseiger Super Sentai 199 Hero Great Battle.mkv,Gokaiger Goseiger Super Sentai 199 Hero Great Battle,
Gone Girl,2014,,tvdb-130,imdb-tt2267998 tmdb-210577 tvdb-130,jellyfin+plex,0,1,0,,2026-06-03,,,0,,,Gone Girl (2014).strm,Cô Gái Mất Tích,
Grave of the Fireflies,,,tvdb-131182,imdb-tt0095327 tmdb-12477 tvdb-131182,plex,0,1,0,,,,,0,,,,Mộ Đom Đóm,
Guardians of the Galaxy,2014,,tvdb-26,imdb-tt2015381 tmdb-118340 tvdb-26,jellyfin+plex,0,1,0,,2022-06-19,,,0,"chi,dan,dut,eng,fin,fre,ger,ice,ita,jpn,kor,nor,por,spa,swe,vie",,Guardians of the Galaxy (2014).mkv,Vệ Binh Dải Ngân Hà,
Guardians of the Galaxy Vol. 2,2017,,tvdb-67,imdb-tt3896198 tmdb-283995 tvdb-67,jellyfin+plex,0,1,0,,2022-06-19,,,0,"chi,dan,dut,eng,fin,fre,ger,ice,ita,jpn,kor,nor,por,spa,swe,vie",,Guardians of the Galaxy Vol 2 (2017).mkv,Vệ Binh Dải Ngân Hà 2,
Guardians of the Galaxy Vol. 3,2023,,tvdb-11716,imdb-tt6791350 tmdb-447365 tvdb-11716,jellyfin+plex,0,1,0,,2023-07-29,,,0,"eng,vie",,Guardians of the Galaxy Vol 3 (2023).mkv,Vệ Binh Dải Ngân Hà 3,
HAKYU HOSHIN ENGI,,,tmdb-75863,tmdb-75863 tvdb-337121,local+gdrive,1,0,1,,,,,0,,Hakyuu Houshin Engi (2018) {tvdb-337121},,,Hakyuu Houshin Engi (2018) {tvdb-337121}
Harry Potter and the Chamber of Secrets,2002,,tvdb-63,imdb-tt0295297 tmdb-672 tvdb-63,jellyfin+plex,0,1,0,,2023-10-02,,,1,,,Harry Potter and the Chamber of Secrets (2002).mkv,Harry Potter và Căn Phòng Bí Mật,
Harry Potter and the Deathly Hallows: Part 1,2010,,tvdb-201,imdb-tt0926084 tmdb-12444 tvdb-201,jellyfin+plex,0,1,0,,2023-10-02,,,1,,,Harry Potter and the Deathly Hallows Part 1 (2010).mkv,Harry Potter và Bảo Bối Tử Thần: Phần 1,
Harry Potter and the Deathly Hallows: Part 2,2011,,tvdb-142,imdb-tt1201607 tmdb-12445 tvdb-142,jellyfin+plex,0,1,0,,2023-10-02,,,1,,,Harry Potter and the Deathly Hallows Part 2 (2011).mkv,Harry Potter và Bảo Bối Tử Thần: Phần 2,
Harry Potter and the Goblet of Fire,2005,,tvdb-153,imdb-tt0330373 tmdb-674 tvdb-153,jellyfin+plex,0,1,0,,2023-10-02,,,1,,,Harry Potter and the Goblet of Fire (2005).mkv,Harry Potter và Chiếc Cốc Lửa,
Harry Potter and the Half-Blood Prince,2009,,tvdb-181,imdb-tt0417741 tmdb-767 tvdb-181,jellyfin+plex,0,1,0,,2023-10-02,,,1,,,Harry Potter and the Half-Blood Prince (2009).mkv,Harry Potter và Hoàng Tử Lai,
Harry Potter and the Order of the Phoenix,2007,,tvdb-128,imdb-tt0373889 tmdb-675 tvdb-128,jellyfin+plex,0,1,0,,2023-10-02,,,1,,,Harry Potter and the Order of the Phoenix (2007).mkv,Harry Potter và Mệnh Lệnh Phượng Hoàng,
Harry Potter and the Philosopher's Stone,2001,,tvdb-66,imdb-tt0241527 tmdb-671 tvdb-66,jellyfin+plex,0,1,0,,2023-10-04,,,1,,,Harry Potter and the Philosophers Stone (2001).mp4,Harry Potter và Hòn Đá Phù Thủy,
Harry Potter and the Prisoner of Azkaban,2004,,tvdb-154,imdb-tt0304141 tmdb-673 tvdb-154,jellyfin+plex,0,1,0,,2023-10-02,,,1,,,Harry Potter and the Prisoner of Azkaban (2004).mkv,Harry Potter và Tù Nhân Azkaban,
Hokum,2026,,tvdb-364267,imdb-tt35672862 tmdb-1430077 tvdb-364267,jellyfin+plex,0,1,0,,2026-06-03,,,0,,,Hokum (2026).strm,Ba Trợn,
How to Train Your Dragon,2019,,tvdb-170,imdb-tt0892769 tmdb-10191 tvdb-170,jellyfin+plex,0,1,0,,2025-06-22,,,0,"ara,bul,chi,cze,dan,dut,eng,fre,gre,heb,hrv,ind,kor,per,pol,por,rum,slv,spa,srp,swe,vie",,How.to.Train.Your.Dragon.2010.1080p.Blu-ray.x264-ViSTA.mkv,Bí Kíp Luyện Rồng,
How to Train Your Dragon 2,2019,,tvdb-149,,jellyfin+plex,0,1,0,,2025-06-22,,,0,"eng,gre,vie,ara,bul,chi,cze,dan,dut,fre,heb,hrv,ind,kor,per,pol,por,rum,slv,spa,srp,swe",,How.to.Train.Your.Dragon.2.2014.1080p.BluRay.DD5.1.Hi10P.x264-HDMaNiAcS-KM.mkv,Bí Kíp Luyện Rồng 2,
How to Train Your Dragon: The Hidden World,2019,,tvdb-34,imdb-tt2386490 tmdb-166428 tvdb-34,jellyfin+plex,0,1,0,,2025-06-22,,,0,"eng,vie",,How to Train Your Dragon The Hidden World 2019 2160p UHD Blu-ray HEVC Atmos x265 - SumVision-KM.mkv,Bí Kíp Luyện Rồng: Vùng Đất Bí Ẩn,
Howl's Moving Castle,2004,,tvdb-573,imdb-tt0347149 tmdb-4935 tvdb-573,jellyfin+plex,0,1,0,,2025-06-22,,,1,"eng,vie",,Lâu đài bay của pháp sư Howl.2004.1080P.NF.WEB-DL.AAC.H264-KM.mkv,Lâu Đài Bay Của Pháp Sư Howl,
Hulk vs. Thor,2009,,tmdb-101907,tmdb-101907,jellyfin+plex,0,1,0,,2025-06-04,,,0,eng,,Hulk vs Thor 2009 -CiNEFiLE.mkv,Hulk vs. Thor,
Hulk vs. Wolverine,2009,,tmdb-15257,tmdb-15257,jellyfin,0,1,0,,2025-06-04,,,0,,,Hulk vs Wolverine 5 1 -.mkv,,
Hulk: Where Monsters Dwell,2016,,tvdb-27131,imdb-tt6173902 tmdb-422153 tvdb-27131,jellyfin+plex,0,1,0,,2025-06-04,,,0,,,Hulk Where Monsters Dwell 2016 XviD -.avi,Hulk: Where Monsters Dwell,
Hyakujuu Sentai Gaoranger VS Super Sentai,2001,,tvdb-25771,imdb-tt0291255 tmdb-200428 tvdb-25771,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Hyakujuu Sentai Gaoranger VS Super Sentai.mkv,Hyakujuu Sentai Gaoranger vs. Super Sentai,
Hyakujuu Sentai Gaoranger: The Fire Mountain Roars,2001,,tvdb-48038,imdb-tt0861351 tmdb-200755 tvdb-48038,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Hyakujuu Sentai Gaoranger: The Fire Mountain Roars.mkv,Chiến Đội Bách Thú Gaoranger: Tiếng Gầm Núi Lửa,
I Am Nezha 2,,,tmdb-1173900,tmdb-1173900,plex,0,1,0,,,,,0,,,,I Am Nezha 2,
Ice Age,2002,,tvdb-458,imdb-tt0268380 tmdb-425 tvdb-458,jellyfin+plex,0,1,0,,2024-01-06,,,1,"eng,vie",,Ice Age (2002).mkv,Kỷ Băng Hà,
Ice Age: Collision Course,2016,,tvdb-720,imdb-tt3416828 tmdb-278154 tvdb-720,jellyfin+plex,0,1,0,,2024-01-06,,,1,,,Ice Age Collision Course (2016).mkv,Kỷ Băng Hà: Trời Sập,
Ice Age: Continental Drift,2012,,tvdb-683,imdb-tt1667889 tmdb-57800 tvdb-683,jellyfin+plex,0,1,0,,2024-01-06,,,1,,,Ice Age Continental Drift (2012).mkv,Kỷ Băng Hà: Lục Địa Trôi Dạt,
Ice Age: Dawn of the Dinosaurs,2009,,tvdb-392,imdb-tt1080016 tmdb-8355 tvdb-392,jellyfin+plex,0,1,0,,2024-01-06,,,1,"eng,vie",,Ice Age Dawn of the Dinosaurs (2009).mkv,Kỷ Băng Hà: Khủng Long Thức Giấc,
Ice Age: The Meltdown,2006,,tvdb-559,imdb-tt0438097 tmdb-950 tvdb-559,jellyfin+plex,0,1,0,,2024-01-06,,,1,"eng,vie",,Ice Age The Meltdown (2006).mkv,Kỷ Băng Hà: Băng Tan,
Inception,2010,,tvdb-113,imdb-tt1375666 tmdb-27205 tvdb-113,jellyfin+plex,0,1,0,,2026-05-21,,,0,,,Inception (2010).strm,Kẻ Cắp Giấc Mơ,
Into the White Night,2006,,tvdb-84819,imdb-tt0983950 tmdb-19458 tvdb-84819,jellyfin+plex,0,1,0,,2026-05-13,,,0,,,Byakuyakou (2006),Into the White Night,
InuYasha,2000,,tvdb-71361,imdb-tt0290223 tmdb-35610 tvdb-71361,jellyfin+plex,0,1,0,,2026-05-11,,198,0,"eng,rus",,Inuyasha (2000),Khuyển Dạ Xoa,
Inuyasha the Movie 2: The Castle Beyond the Looking Glass,2002,,tvdb-18530,imdb-tt0366621 tmdb-22537 tvdb-18530,jellyfin+plex,0,1,0,,2025-06-11,,,0,eng,,InuYasha the Movie 2 - The Castle Beyond the Looking Glass (2002) [] [Dual-Audio] [] [pseudo].mkv,InuYasha 2: Tòa Lâu Đài Bên Kia Màn Gương,
Inuyasha the Movie 3: Swords of an Honorable Ruler,2003,,tvdb-12898,imdb-tt0396659 tmdb-34295 tvdb-12898,jellyfin+plex,0,1,0,,2025-06-22,,,0,,,InuYasha The Movie 3 Swords of an Honorable Ruler.mkv,InuYasha 3: Những Thanh Kiếm Chinh Phục Thế Giới,
Inuyasha the Movie 4: Fire on the Mystic Island,2004,,tvdb-21904,imdb-tt0473658 tmdb-34297 tvdb-21904,jellyfin+plex,0,1,0,,2025-06-11,,,0,eng,,InuYasha the Movie 4 - Fire on the Mystic Island (2004) [] [Dual-Audio] [] [pseudo].mkv,InuYasha 4: Đại Chiến Trên Hòn Đảo Bí Ẩn,
Inuyasha the Movie: Affections Touching Across Time,2001,,tvdb-15740,imdb-tt0322645 tmdb-42360 tvdb-15740,jellyfin+plex,0,1,0,,2025-06-11,,,0,eng,,InuYasha the Movie 1 - Affections Touching Across Time (2001) [] [Dual-Audio] [] [pseudo].mkv,InuYasha: Mối Giao Cảm Vượt Thời Gian,
INVINCIBLE,2021,,tvdb-368207,imdb-tt6741278 tmdb-95557 tvdb-368207,jellyfin+plex,0,1,0,,2026-05-13,,33,1,"ara,baq,cat,chi,cze,dan,dut,eng,fil,fin,fre,ger,glg,gre,heb,hin,hun,ind,ita,jpn,kan,kor,mal,may,nob,pol,por,rum,rus,spa,swe,tam,tel,tha,tur,ukr,vie",,Invincible,BẤT KHẢ CHIẾN BẠI,
Iron Armored Machine Mikazuki,2000,,tvdb-125041,imdb-tt0184736 tmdb-60774 tvdb-125041,jellyfin+plex,0,1,0,,2026-05-12,,,0,,,Tekkouki Mikazuki,Giant Robot Mikazuki,
Iron Man,2008,,tvdb-108,imdb-tt0371746 tmdb-1726 tvdb-108,jellyfin+plex,0,1,0,,2022-06-19,,,0,"chi,cze,dan,dut,eng,fin,fre,ger,gre,hun,ice,ita,kor,nor,pol,por,rum,slo,spa,swe,tur,vie",,Iron Man (2008).mkv,Người Sắt,
Iron Man & Captain America: Heroes United,2014,,tvdb-15887,imdb-tt3911200 tmdb-284274 tvdb-15887,jellyfin+plex,0,1,0,,2025-06-04,,,0,,,Iron Man and Captain America Heroes United 2014 -.mp4,Người Sắt Và Đội Trưởng Mỹ: Liên Minh Anh Hùng,
Iron Man & Hulk: Heroes United,2013,,tvdb-10142,imdb-tt3221698 tmdb-230896 tvdb-10142,jellyfin+plex,0,1,0,,2025-06-04,,,0,,,Iron Man And Hulk Heroes United 2013 -.mp4,Người Sắt và Hulk: Liên Minh Anh Hùng,
Iron Man 2,2010,,tvdb-187,imdb-tt1228705 tmdb-10138 tvdb-187,jellyfin+plex,0,1,0,,2022-06-19,,,0,"eng,vie",,Iron Man 2 (2010).mkv,Người Sắt 2,
Iron Man 3,2013,,tvdb-188,imdb-tt1300854 tmdb-68721 tvdb-188,jellyfin+plex,0,1,0,,2022-06-19,,,0,"eng,vie",,Iron Man 3 (2013).mkv,Người Sắt 3,
Iron Man: Rise of Technovore,2013,,tvdb-6860,imdb-tt2654124 tmdb-169934 tvdb-6860,jellyfin+plex,0,1,0,,2025-06-04,,,0,,,Iron Man Rise of Technovore (2013).mp4,Người Sắt: Sự Nổi Giận Của Technovore,
Journey to the West,1996,,tvdb-81456,imdb-tt1459024 tmdb-13922 tvdb-81456,jellyfin+plex,0,1,0,,2026-05-13,,73,1,,,Tay Du Ky (1996),Tây Du Ký,
Juken Sentai Gekiranger vs. Boukenger,2008,,tvdb-21539,imdb-tt1267173 tmdb-188216 tvdb-21539,jellyfin+plex,0,1,0,,2021-04-30,,,0,,,Juken Sentai Gekiranger vs Boukenger.mkv,Juken sentai Gekiranger vs. Boukenger,
Juken Sentai Gekiranger: Gyun-Gyun! Fist Sage Great Athletic Meet,2007,,tmdb-984846,tmdb-984846,jellyfin,0,1,0,,2021-05-01,,,0,,,Juken Sentai Gekiranger: Gyun-Gyun! Fist Sage Great Athletic Meet.mkv,,
Juken Sentai Gekiranger: Gyun-Gyun! Fist Sage Great Athletic Meet,,,imdb-tt8968038,imdb-tt8968038,plex,0,1,0,,,,,0,,,,Juken Sentai Gekiranger: Gyun-Gyun! Fist Sage Great Athletic Meet,
Juken Sentai Gekiranger: Nei-Nei! Hou-Hou! Hong Kong Decisive Battle,2007,,tvdb-86234,imdb-tt1320270 tmdb-188227 tvdb-86234,jellyfin+plex,0,1,0,,2021-05-17,,,0,,,Juken Sentai Gekiranger: Nei-Nei! Hou-Hou! Hong Kong Decisive Battle.mkv,Juken sentai Gekiranger: Nei-Nei! Hou-Hou! Hong Kong Decisive Battle,
Kaizoku Sentai Gokaiger,2011,,tvdb-352210,imdb-tt1806294 tmdb-95707 tvdb-352210,jellyfin+plex,0,1,0,,2026-05-12,,,0,,,Kaizoku Sentai Gokaiger,Chiến Đội Hải Tặc Gokaiger,
Kaizoku Sentai Gokaiger vs. Space Sheriff Gavan: The Movie,2012,,tvdb-57913,imdb-tt2099643 tmdb-200424 tvdb-57913,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Kaizoku Sentai Gokaiger vs Space Sheriff Gavan: The Movie.mkv,Kaizoku Sentai Gokaiger vs. Space Sheriff Gavan: The Movie,
Kaizoku Sentai Gokaiger: Final Live Tour 2012,2012,,tmdb-779087,tmdb-779087,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Kaizoku Sentai Gokaiger: Final Live Tour (2012).mkv,Kaizoku Sentai Gokaiger: Final Live Tour 2012,
Kaizoku Sentai Gokaiger: Let's Make an Extremely GOLDEN Show of it! The 36-Stage Gokai Change!!,2011,,tvdb-79787,imdb-tt2196242 tmdb-270512 tvdb-79787,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Kaizoku Sentai Gokaiger: Let's Make an Extremely GOLDEN Show of it! The 36-Stage Gokai Change!!.mkv,Kaizoku Sentai Gokaiger: Let's Do This Goldenly! Roughly! 36 Round Gokai Change!!,
Kaizoku Sentai Gokaiger: The Movie - The Flying Ghost Ship,2011,,tvdb-347089,imdb-tt1980997 tmdb-200426 tvdb-347089,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Kaizoku Sentai Gokaiger: The Movie - The Flying Ghost Ship.mkv,Chiến Đội Hải Tặc Gokaiger: Tàu Ma Bay,
Kaizoku Sentai: Ten Gokaiger,2021,,tvdb-223177,imdb-tt14879560 tmdb-844041 tvdb-223177,jellyfin+plex,0,1,0,,2025-05-26,,,0,,,Kaizoku Sentai: Ten Gokaiger.mkv,Kaizoku Sentai: Ten Gokaiger,
Kamen Rider × Super Sentai: Super Hero Wars,2012,,tvdb-25062,imdb-tt2210717 tmdb-241697 tvdb-25062,jellyfin+plex,0,1,0,,2021-10-02,,,0,,,Kamen Rider x Super Sentai - Super Hero Taisen.mkv,Kamen Rider × Super Sentai: Super Hero Taisen,
Kidnapping Game,2020,,tvdb-383403,imdb-tt12434326 tmdb-104329 tvdb-383403,jellyfin+plex,0,1,0,,2026-05-13,,,0,,,Kidnapping Game 2020,Trò Chơi Mười Ngày,
Kikai Sentai Zenkaiger Final Live Tour 2022,2022,,tmdb-1123564,tmdb-1123564,jellyfin+plex,0,1,0,,2023-05-31,,,0,,,Kikai Sentai Zenkaiger Final Live Tour 2022.mkv,Kikai Sentai Zenkaiger Final Live Tour 2022,
Kikai Sentai Zenkaiger Spin-Off: Zenkai Red Great Introduction,2021,,tvdb-401796,imdb-tt14303562 tmdb-129643 tvdb-401796,jellyfin+plex,0,1,0,,2026-05-12,,,0,,,Kikai Sentai Zenkaiger Spin-Off: Zenkai Red Great Introduction,Kikai Sentai Zenkaiger Spin-Off: Zenkai Red Great Introduction,
Kikai Sentai Zenkaiger The Movie: Red Battle! All Sentai Rally!!,2021,,tvdb-148024,imdb-tt13711080 tmdb-789948 tvdb-148024,jellyfin+plex,0,1,0,,2023-07-02,,,0,,,Kikai Sentai Zenkaiger The Movie: Red Battle! All Sentai Rally!!.mkv,Chiến Đội Cơ Giới Zenkaiger: Trận Chiến Siêu Nhân Đỏ! Tất Cả Các Chiến Đội Tập Hộp!!,
Kikai Sentai Zenkaiger vs. Kiramager vs. Senpaiger,2022,,tvdb-349702,imdb-tt18342066 tmdb-944318 tvdb-349702,jellyfin+plex,0,1,0,,2023-07-12,,,0,,,Kikai Sentai Zenkaiger vs Kiramager vs Senpaiger.mkv,Kikai Sentai Zenkaiger vs Kiramager vs Senpaiger,
Kiki's Delivery Service,1989,,tvdb-783,imdb-tt0097814 tmdb-16859 tvdb-783,jellyfin+plex,0,1,0,,2025-06-22,,,1,"eng,vie",,Kiki's.Delivery.Service.1989.1080P.NF.WEB-DL.AAC.H264-KM.mkv,Dịch Vụ Giao Hàng của Phù Thủy Kiki,
Kindaichi Case Files Movie 2: Deep Blue Massacre,1999,,tmdb-69474,imdb-tt14170110 tmdb-535915 tmdb-69474,jellyfin+plex,0,1,0,,2025-04-10,,,0,,,Kindaichi Shounen no Jikenbo - Deep Blue Massacre (1999) - [1080p HEVC].mp4,Kindaichi Shounen No Jikenbo Deep Blue Massacre,
Kindaichi Case Files: Legendary Vampire Murders,2007,,tmdb-1929789,imdb-tt18548394 tmdb-1929789 tmdb-263954,jellyfin+plex,0,1,0,,2025-04-10,,,0,,,Kindaichi Case Files SP - Legendary Vampire Murders (2007) - [1080p HEVC].mp4,Kindaichi Case Files SP Legendary Vampire Murders,
Kindaichi Case Files: The Opera House Murders 3,2024,,tmdb-1929790,tmdb-1929790,jellyfin,0,1,0,,2025-04-09,,,0,,,Kindaichi Case Files SP - The Third Opera House Murders (2007) - [1080p HEVC].mp4,,
Kindaichi Case Files: The Third Opera House Murders,,,tmdb-912832,imdb-tt18548444 tmdb-912832,plex,0,1,0,,,,,0,,,,Kindaichi Case Files SP the Third Opera House Murders,
Kingdom,,,tmdb-46437,tmdb-46437 tvdb-259635,local+gdrive,1,0,1,,,,,0,,Kingdom (2012) {tvdb-259635},,,Kingdom (2012) {tvdb-259635}
Kingdom: Ashin of the North,2021,,tvdb-286533,imdb-tt13412252 tmdb-845222 tvdb-286533,jellyfin+plex,0,1,0,,2024-05-19,,,1,"eng,vie",,Kingdom Ashin of the North (2021).mkv,Vương Triều Xác Sống: Ashin Phương Bắc,
Kishiryu Sentai Ryusoulger Special Chapter: Memory of Soulmates,2021,,tmdb-789953,imdb-tt13681618 tmdb-789953,jellyfin+plex,0,1,0,,2025-06-25,,,0,,,Kishiryu Sentai Ryusoulger Special Chapter: Memory of Soulmates.mkv,Kishiryu Sentai Ryusoulger Special Chapter: Memory of Soulmates,
Kishiryu Sentai Ryusoulger The Movie: Time Slip! Dinosaur Panic!!,2019,,tvdb-152216,imdb-tt10379466 tmdb-604946 tvdb-152216,jellyfin+plex,0,1,0,,2025-06-25,,,0,,,Kishiryu Sentai Ryusoulger The Movie: Time Slip! Dinosaur Panic!!.mkv,Chiến Đội Kỵ Sĩ Long Ryusoulger: Thời Gian Trôi Nhanh! Khủng Long Hoảng Loạn!!,
Kishiryu Sentai Ryusoulger VS Lupinranger VS Patranger,2020,,tvdb-177282,imdb-tt11478014 tmdb-657227 tvdb-177282,jellyfin+plex,0,1,0,,2025-06-25,,,0,,,Ryusoulger VS Lupinranger VS Patranger.mkv,Kishiryu Sentai Ryusoulger vs. Lupinranger vs. Patranger,
Laplace's Witch,2018,,tvdb-10949,imdb-tt6686358 tmdb-489891 tvdb-10949,jellyfin+plex,0,1,0,,2023-05-20,,,0,,,Laplace's Witch 2018 Vi.ts,Phù Thủy Của Laplace,
Laputa,1987,,tvdb-208522,imdb-tt0091379 tmdb-389915 tvdb-208522,jellyfin+plex,0,1,0,,2025-06-22,,,1,"eng,vie",,Laputa.1986.LT.1080P.NF.WEB-DL.AAC.H264-KM.mkv,Laputa,
Live Nude Comedy,1988,,tmdb-39744,imdb-tt0462651 tmdb-19612 tmdb-39744 tvdb-227501,jellyfin+plex+gdrive,0,1,1,,2026-05-12,,158,0,"eng,vie,zho",,Mashin Hero Wataru (1988) {tvdb-227501} [tvdbid-227501],Kiếm Thần Tí Hon,Mashin Hero Wataru (1988) {tvdb-227501} [tvdbid-227501]
Logan,2017,,tvdb-143,imdb-tt3315342 tmdb-263115 tvdb-143,jellyfin+plex,0,1,0,,2023-10-21,,,1,"eng,vie",,Logan (2017).mkv,X-Men:  Logan - Trận Chiến Cuối Cùng,
Loki,2021,,tvdb-362472,imdb-tt9140554 tmdb-84958 tvdb-362472,jellyfin+plex,0,1,0,,2026-05-13,,12,1,"chi,cze,dan,dut,eng,fin,fre,ger,gre,hun,ita,jpn,kor,nor,pol,por,rum,slo,spa,swe,tur,vie",,Loki,Loki,
Luffy's Fall! The Unexplored Region - Grand Adventure in the Ocean's Navel,2000,,tvdb-147002,imdb-tt0975705 tmdb-1051942 tvdb-147002,jellyfin+plex,0,1,0,,2023-10-20,,,0,,,Luffys Fall The Unexplored Region - Grand Adventure in the Oceans Navel (2000).mkv,One Piece TV Special: Adventure in the Ocean's Navel,
Madou King Granzort (1989),,,tvdb-335791,tvdb-335791,local,1,0,0,,,,,0,,Madou King Granzort (1989) {tvdb-335791},,,
Mahou Sentai Magiranger the Movie: Bride of Infershia,2005,,tvdb-98704,imdb-tt0791182 tmdb-200412 tvdb-98704,jellyfin+plex,0,1,0,,2025-06-24,,,0,,,Mahou Sentai Magiranger the Movie: Bride of Infershia.mkv,Chiến Đội Ma Pháp Magiranger: Cô Dâu của Infershia,
Mahou Sentai Magiranger vs. Dekaranger,2006,,tvdb-74712,imdb-tt0776789 tmdb-188295 tvdb-74712,jellyfin+plex,0,1,0,,2025-06-24,,,0,,,Mahou Sentai Magiranger vs. Dekaranger.mkv,Mahou Sentai Magiranger vs. Dekaranger,
Marvel Rising: Secret Warriors,2018,,tvdb-15846,imdb-tt7728344 tmdb-491633 tvdb-15846,jellyfin+plex,0,1,0,,2025-06-04,,,0,,,Marvel Rising Secret Warriors 2018 XviD -.avi,Marvel Rising: Secret Warriors,
Marvel Super Hero Adventures: Frost Fight!,,,tvdb-25523,imdb-tt5272052 tmdb-372631 tvdb-25523,plex,0,1,0,,,,,0,,,,Marvel Super Hero Adventures: Frost Fight!,
Mashin Hero Wataru: The Seven Spirits Of Ryujinmaru－Reunion－,2022,,tmdb-1015361,tmdb-1015361,jellyfin+plex+gdrive,0,1,1,,2026-08-27,,,0,vie,,Mashin Hero Wataru - Reunion (2022) {tmdb-1015361} [tmdbid-1015361].mkv,Mashin Hero Wataru: The Seven Spirits Of Ryujinmaru－Reunion－,Mashin Hero Wataru - Reunion (2022) {tmdb-1015361} [tmdbid-1015361]
Masquerade Hotel,2019,,tvdb-13495,imdb-tt7502322 tmdb-554808 tvdb-13495,jellyfin+plex,0,1,0,,2023-05-18,,,0,,,Masquerade Night (2021).ts,Khách Sạn Ngụy Trang,
Masquerade Night,,,tvdb-165837,imdb-tt13582738 tmdb-824202 tvdb-165837,plex,0,1,0,,,,,0,,,,Masquerade Night,
Midsummer's Equation,2013,,tvdb-128481,imdb-tt2412556 tmdb-204702 tvdb-128481,jellyfin+plex,0,1,0,,2024-07-28,,,0,,,Midsummers Equation (2013).mkv,Phương trình Hạ chí,
Mirai Sentai Timeranger,2000,,tvdb-423049,imdb-tt0236910 tmdb-1983 tvdb-423049,jellyfin+plex,0,1,0,,2026-05-13,,,0,,,Mirai Sentai Timeranger,Chiến Đội Tương Lai Timeranger,
Mission: Impossible,1996,,tvdb-284,imdb-tt0117060 tmdb-954 tvdb-284,jellyfin+plex,0,1,0,,2023-10-21,,,0,eng,,Mission Impossible (1996).mkv,Nhiệm Vụ: Bất Khả Thi,
